x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50
42.12962963,12.78614356,285.5788282,7.104443815,1.694915254,31.09637638,0.690371413,180.876494,3.065703289,6.317104464,8.012019718,31.86913363,8.083447757,7.550588946,2.768304026,17.13134643,2.639581046,2.110203255,1.725302181,18.2692957,3.921355753,11.87791208,0.046021269,1.735446635,1.311866058,7.336636116,49.75032075,47.58077705,2.671653648,1.311866058,37.31311766,62.68688234,168.0022637,65.77511285,-21.13602015,1.116050394,1.870224316,0.296785147,0.228862235,0.771137765,56.27753304,83.52745424,4.418236226,0.613355971,2.56781694,163.0374608,32.963063,47.65953088,19.16419133,2.511409396
24.58759783,1.178337631,568.9110484,77.11789622,8.667923031,5.794677657,0.569747665,154.6744479,13.40706209,16.14758976,24.8155128,36.05534616,12.74112661,21.04105257,8.808271515,14.02813382,8.566410323,12.14243206,17.38940686,8.12090855,12.89835604,73.51715929,0.052115885,3.239925445,0.725412461,6.596224934,55.33468062,41.39221952,8.247809122,0.725412461,41.55639682,58.44360318,140.6368397,28.04118774,10.31058531,1.008411614,1.361998292,3.480124146,0.7767919,0.2232081,124.4905205,242.2789021,5.072821311,1.869247478,1.076372186,53.49746417,23.22951795,73.67207515,69.51323655,11.78002894
23.39228296,0,2769.314642,307.4766355,11.16326415,14.46547421,0.309313875,27.81155015,3.104676808,-15.33676412,-4.173499972,-0.542894305,-13.83257581,-117.7997528,-13.75081163,-15.93232288,-14.86584859,-16.16807103,-3.658881412,7.724933552,6.231894273,77.07968105,0.097734868,3.443286924,0.850491788,9.718604012,37.55683425,15.72585635,6.265726872,0.850491788,4.965682196,95.0343178,1913.82199,21.37112218,-7.722408027,0.475166411,1.187403994,3.14661492,0.758839434,0.241160566,-117.8506375,-94.08960915,10.00304044,15.28167539,1.050157599,6.543785117,22.08901205,44.52124936,-69.43164363,-3.168224299
18.27344435,4.924854225,508.4873633,17.91776688,2.600673438,10.71141479,0.649930773,84,2.184565688,9.080456624,11.68113006,26.19562539,7.400633678,19.06035317,5.324437804,12.36533085,5.192423633,5.65851789,7.755481946,9.790851105,8.885672586,13.15119494,0.069030664,2.345737679,0.94095979,5.579502062,65.41802404,61.47867211,6.558015081,0.94095979,27.38645498,72.61354502,265.1440103,42.46523213,1.895331695,0.96700611,1.314378819,1.46733606,0.594704582,0.405295418,131.7061832,-2638.888889,6.922684544,2.17152816,1.163005829,46.05051956,33.60343836,58.88391039,27.02240326,8.526992288
39.76890756,0,2999.94077,2.645607108,0.080056398,61.60253868,0.630419821,91.04477612,0.072887168,6.115352905,6.195409303,9.221421658,18.96966947,38.3724821,10.00663153,63.22225997,11.97102236,3.425696909,2.860522637,6.210942634,5.779066756,0.320823028,0.096298958,3.24966267,2.921049876,19.26588398,18.94540632,19.21602598,5.246154643,2.921049876,36.56026222,63.43973778,173.5210142,96.00157962,0.972353193,0.416426711,1.427910325,0.149897971,0.130357628,0.869642372,3924.590164,-1340,9.222298692,0.356555505,2.999199231,280.4612428,17.42839732,10.70889894,35.08844097,7.582222222
23.98871119,0.737445393,1691.164327,122.1304707,5.927618132,7.225822532,0.486620836,87.01825558,5.158109895,7.137990461,13.06560859,17.91912148,3.651795046,3.564656807,1.538790878,5.225632299,1.522931206,2.448799647,8.789226885,6.679091018,9.137886834,77.81652038,0.039300614,3.422164312,0.628385781,15.91262755,22.93775801,44.68041992,7.500457792,0.628385781,42.85892323,57.14107677,133.3236406,26.22900763,8.203090508,0.800598703,1.282720772,4.201607675,0.807751745,0.192248255,115.3603367,-198.5234899,3.910629297,1.884675778,1.052457802,53.05952418,24.0992345,32.2966905,29.61915849,3.049657534
-12.67893661,0.958161862,313.3779801,7.418843863,1.772599445,32.77408638,0.787222289,69.43243243,1.230758912,-0.541840533,1.230758912,25.12396219,-0.519640438,-3.482251884,-1.357796659,-1.2716867,-1.373754153,-0.79239986,-0.25726646,15.9509996,5.34760331,13.6547647,0.027620185,3.154352984,1.713524607,9.945823605,36.69882098,20.99863396,4.004073476,1.713524607,36.46760797,63.53239203,174.2159565,44.36615115,-3.661622666,0.765919203,1.928661932,0.839487877,0.456370432,0.543629568,-20.90307513,-266.3786897,2.762183469,1.251440545,1.573570896,79.90791126,16.25856956,59.82850576,-3.332645785,-1.354491018
2.130504287,0,780.124972,51.36591328,5.62513667,12.60880989,0.494537719,83.17024129,4.678439741,-2.008573432,3.616563238,14.5676713,-1.175003704,-12.69355233,-4.145121888,-2.15612751,-4.398338581,-5.775002074,9.23133186,10.25088788,5.74649291,65.44160339,0.042341376,1.772584348,0.717769766,3.476821235,104.9809511,84.28500898,4.909362712,0.717769766,30.71888105,69.28111895,225.5326905,48.32867753,10.79256376,0.877046966,1.2536244,1.38238946,0.580253348,0.419746652,130.3607081,-83.56904809,4.344781094,1.888914335,1.146350154,52.94046329,43.96259209,67.95820094,-4.568823941,-0.469714336
874.732334,0,316.4920558,35.19045306,7.248717326,14.57435325,0.45645362,86.4287592,6.264976443,6.960026297,14.20874362,34.8072773,4.20835683,-12.76595745,-2.658373638,6.684387996,-2.693467337,-3.447142388,9.8817129,35.20958683,5.576859724,53.46595971,0.07603267,1.645898837,0.771181848,4.395991707,83.03018393,30.30597817,3.635706695,0.771181848,18.50251256,81.49748744,440.4671374,24.76580663,9.799789252,1.639396566,2.361488667,1.098057744,0.523368695,0.476631305,157.7294502,-927.2394881,7.36920104,2.828635806,1.525052808,35.35273074,25.83117768,85.78831861,26.94428564,1.388651269
34.00077071,8.119507782,223.0041076,7.66082955,1.780842571,19.0163233,0.639343944,106.9139286,1.903968755,23.13336397,24.91420654,48.1602866,20.42182371,17.55341828,13.45543165,25.20804933,12.72142233,15.3699529,11.91918902,81.23528229,4.998268577,6.662095802,0.101415649,0.964374608,0.875437403,7.437122072,49.0781241,25.71451324,2.591088105,0.875437403,79.05542318,20.94457682,26.49353578,87.13507533,-6.580896057,3.875132275,4.917118437,0.114357986,0.102622306,0.897377694,626.0180995,1446.355685,9.640684817,0.129810583,7.966097279,770.3532137,22.04963816,60.52910053,104.9149369,585.8545455
